rank,score,name,type,ra_deg,dec_deg,max_mag,min_mag_or_amplitude,min_is_amplitude,amplitude_mag,period_days,max_altitude_deg,minutes_above_minimum,best_night_date,best_local_time,galactic_latitude_deg,aavso_status,aavso_recent_observations,simbad_status,simbad_main_id,simbad_object_type,simbad_separation_arcsec,gaia_status,gaia_source_id,gaia_g_mag,gaia_bp_rp,gaia_parallax_mas,gaia_ruwe,gaia_absolute_g_mag,ztf_status,ztf_observations,ztf_amplitude_mag,vsx_url,reasons
1,118.0,ASASSN-V J160002.35+453848.8,SR,240.00978,45.64691,13.500,0.290,True,0.290,44.21000000,84.6,240,2026-05-17,2026-05-18T01:00:00-04:00,48.5,ok-cached,0,ok,2MASS J16000234+4538488,S*?,0.011,ok,1398447265748971008,11.712,2.471,0.126,1.134,-2.785,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=2286558,"max altitude 84.6 deg; long nightly window; uncertain or broad VSX type (SR); survey-designated object, good data-mining follow-up candidate; catalog amplitude about 0.29 mag; bright enough for urban photometry (13.50); long-period cadence friendly (44.21 d); well away from Galactic plane (b=48.5 deg); sparse AAVSO coverage (0 recent observations)"
2,106.3,WISE J120003.9+632552,EW|EA,180.01644,63.43126,11.628,0.230,True,0.230,0.86971060,67.3,330,2026-05-05,2026-05-05T22:00:00-04:00,52.7,ok-cached,0,ok,TYC 4157-625-1,EB*,0.145,ok,1583015204597408000,12.358,0.365,0.821,1.099,1.929,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=633620,"max altitude 67.3 deg; long nightly window; uncertain or broad VSX type (EW|EA); survey-designated object, good data-mining follow-up candidate; modest catalog amplitude about 0.23 mag; bright enough for urban photometry (11.63); time-series candidate (0.8697 d); well away from Galactic plane (b=52.7 deg); sparse AAVSO coverage (0 recent observations)"
3,105.7,ASASSN-V J180001.26+355054.1,SR,270.00525,35.84841,11.620,0.270,True,0.270,411.00000000,63.7,120,2026-05-17,2026-05-18T01:00:00-04:00,25.3,ok-cached,0,ok,TYC 2633-490-1,*,0.015,ok,4609436314557759232,9.873,2.156,0.377,1.112,-2.247,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=2306732,"max altitude 63.7 deg; usable nightly window; uncertain or broad VSX type (SR); survey-designated object, good data-mining follow-up candidate; catalog amplitude about 0.27 mag; bright enough for urban photometry (11.62); long-period cadence friendly (411.00 d); well away from Galactic plane (b=25.3 deg); sparse AAVSO coverage (0 recent observations)"
4,105.4,IRAS 07557+6048,SRS,120.00746,60.67303,10.400,10.690,False,0.290,21.78650000,63.4,180,2026-05-04,2026-05-04T20:00:00-04:00,31.7,ok-cached,0,ok,IRAS 07557+6048,*,0.060,ok,1084505737894798336,9.277,2.694,0.642,1.079,-1.687,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=844456,max altitude 63.4 deg; long nightly window; uncertain or broad VSX type (SRS); catalog amplitude about 0.29 mag; bright enough for urban photometry (10.40); long-period cadence friendly (21.79 d); well away from Galactic plane (b=31.7 deg); sparse AAVSO coverage (0 recent observations)
5,84.2,ASAS J120005+1552.4,EB,180.01962,15.87383,11.550,11.880,False,0.330,0.46132300,65.2,300,2026-05-05,2026-05-05T22:00:00-04:00,73.6,ok-cached,0,ok,ASAS J120005+1552.4,EB*,0.109,ok,3925312968506481408,11.589,0.563,1.740,1.244,2.793,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=94405,max altitude 65.2 deg; long nightly window; catalog amplitude about 0.33 mag; bright enough for urban photometry (11.55); time-series candidate (0.4613 d); well away from Galactic plane (b=73.6 deg); sparse AAVSO coverage (0 recent observations)
6,81.3,CSS_J080001.0+474500,EW,120.00446,47.75032,13.840,0.120,True,0.120,0.30853800,68.3,150,2026-05-04,2026-05-04T20:00:00-04:00,30.9,ok-cached,0,ok,CRTS J080001.0+474500,EB*,0.019,ok,933103605224602112,13.804,0.820,1.248,2.649,4.286,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=375472,"max altitude 68.3 deg; usable nightly window; survey-designated object, good data-mining follow-up candidate; modest catalog amplitude about 0.12 mag; bright enough for urban photometry (13.84); time-series candidate (0.3085 d); well away from Galactic plane (b=30.9 deg); sparse AAVSO coverage (0 recent observations)"
7,79.0,VX CrB,RRAB,240.01442,34.97246,14.120,1.090,True,1.090,0.51908280,83.7,240,2026-05-17,2026-05-18T01:00:00-04:00,49.2,ok-cached,0,ok,V* VX CrB,RR*,0.010,ok,1372000918724474240,14.066,0.628,0.200,1.410,0.566,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=10641,max altitude 83.7 deg; long nightly window; catalog amplitude about 1.09 mag; time-series candidate (0.5191 d); well away from Galactic plane (b=49.2 deg); sparse AAVSO coverage (0 recent observations)
8,77.5,CSS_J100002.7+091420,EW,150.01183,9.23897,13.850,0.330,True,0.330,0.29190500,58.5,150,2026-05-05,2026-05-05T20:00:00-04:00,45.8,ok-cached,0,ok,CRTS J100002.7+091420,EB*,0.005,ok,3878454974090400128,13.943,0.915,1.206,2.571,4.351,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=379472,"max altitude 58.5 deg; usable nightly window; survey-designated object, good data-mining follow-up candidate; catalog amplitude about 0.33 mag; bright enough for urban photometry (13.85); time-series candidate (0.2919 d); well away from Galactic plane (b=45.8 deg); sparse AAVSO coverage (0 recent observations)"
9,71.7,Gaia DR3 4503175632500692480,L,270.00305,18.10124,12.130,12.300,False,0.170,,53.7,60,2026-05-17,2026-05-18T01:00:00-04:00,19.3,ok-cached,0,ok,2MASS J18000072+1806044,LP?,0.015,ok,4503175632500692480,12.205,2.769,0.107,1.179,-2.640,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=6732539,"max altitude 53.7 deg; uncertain or broad VSX type (L); survey-designated object, good data-mining follow-up candidate; modest catalog amplitude about 0.17 mag; bright enough for urban photometry (12.13); no catalog period listed; sparse AAVSO coverage (0 recent observations)"
10,59.0,V Leo,M,150.00800,21.26233,8.400,14.700,False,6.300,273.35000000,70.5,210,2026-05-05,2026-05-05T20:00:00-04:00,50.7,ok-cached,119,ok,V* V Leo,Mi*,0.024,ok,629454777516193152,9.135,4.966,0.830,1.213,-1.269,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=17036,max altitude 70.5 deg; long nightly window; catalog amplitude about 6.30 mag; bright enough for urban photometry (8.40); long-period cadence friendly (273.35 d); well away from Galactic plane (b=50.7 deg); well-covered in AAVSO recently (119 observations)
11,53.5,V3259 Oph,LB,270.00313,7.43944,14.600,15.000,False,0.400,,45.5,30,2026-05-17,2026-05-18T01:00:00-04:00,14.8,ok-cached,0,ok,V* V3259 Oph,LP*,0.184,ok,4476023429069277056,11.611,3.233,0.183,1.248,-2.075,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=184027,max altitude 45.5 deg; uncertain or broad VSX type (LB); catalog amplitude about 0.40 mag; no catalog period listed; sparse AAVSO coverage (0 recent observations)
